Name,Email,Phone No.,Qualifications,Current Workplace,Job Title,Achievement/Research,
Meenal Joshi,meenal.joshi@example.com,098-765-4321,B.Tech Electrical Engineering,"PowerGrid Corporation, Govt.",Transmission Engineer,Implemented new grid stabilization technique reducing blackouts.,
Karthik Menon,karthik.menon@example.com,987-654-3210,B.Tech Civil Engineering,UltraBuild Developers,Construction Manager,Designed eco-friendly building model with reduced carbon footprint.,
Shruti Das,shruti.das@example.com,876-543-2109,B.Tech Printing and Packaging Technology,EcoWrap Innovations Pvt.,Packaging Designer,Presented innovative sustainable packaging design at a global expo.,
Rohan Shah,rohan.shah@example.com,765-432-1098,B.Tech Computer Science,DataVision Analytics,Data Scientist,Developed advanced data clustering algorithm for market segmentation.,
Kavita Reddy,kavita.reddy@example.com,654-321-0987,B.Tech Electrical Engineering,Bharat Heavy Electricals,Senior Engineer,Patented novel energy-saving device for industrial applications.,
Alok Tiwari,alok.tiwari@example.com,543-210-9876,B.Tech Civil Engineering,Ministry of Road Transport,Highway Engineer,Led team in highway expansion project reducing travel time by 20%.,
Ananya Patel,ananya.patel@example.com,432-109-8765,B.Tech Printing and Packaging Technology,PrintSolutions Pvt. Ltd.,Print Analyst,Optimized print process leading to 15% reduction in production costs.,
Vivek Sharma,vivek.sharma@example.com,321-098-7654,B.Tech Computer Science,InnovateTech Labs,AI Research Scientist,Published paper on autonomous vehicle path planning algorithms.,
Nidhi Kapoor,nidhi.kapoor@example.com,210-987-6543,B.Tech Electrical Engineering,Wipro Technologies,Software Engineer,Implemented scalable IoT solutions for smart home applications.,
Ramesh Iyer,ramesh.iyer@example.com,109-876-5432,B.Tech Civil Engineering,BridgeLink Constructions,Structural Designer,Designed earthquake-resistant bridge awarded for engineering excellence.,
Anusha Rao,anusha.rao@example.com,098-765-4321,B.Tech Printing and Packaging Technology,PackTech Innovations,Packaging Engineer,Led team in developing sustainable packaging materials from agro-waste.,
Sameer Deshpande,sameer.deshpande@example.com,987-654-3210,B.Tech Computer Science,CloudWorks Solutions,Cloud Architect,Architected cloud infrastructure for multinational e-commerce site.,
Aarti Menon,aarti.menon@example.com,876-543-2109,B.Tech Electrical Engineering,National Thermal Power Corp.,Power Systems Engineer,Implemented energy efficiency measures for major power plants.,
Prakash Khanna,prakash.khanna@example.com,765-432-1098,B.Tech Civil Engineering,"Public Works Department, Govt.",Project Engineer,Completed landmark urban redevelopment project within budget.,
Sunita Mishra,sunita.mishra@example.com,654-321-0987,B.Tech Printing and Packaging Technology,GreenWrap Solutions,Product Development Manager,Developed biodegradable packaging material for electronics.,
Arjun Patel,arjun.patel@example.com,543-210-9876,B.Tech Computer Science,CodeCrafters Ltd.,Software Engineer,Co-founded startup focusing on AI-driven customer engagement.,
Kritika Reddy,kritika.reddy@example.com,432-109-8765,B.Tech Electrical Engineering,Larsen & Toubro Ltd.,Project Manager,Managed multimillion-dollar electrical grid modernization project.,
Akshay Gupta,akshay.gupta@example.com,321-098-7654,B.Tech Civil Engineering,BuildSmart Constructions,Construction Engineer,Streamlined construction processes leading to 25% time savings.,
Aisha Khan,aisha.khan@example.com,210-987-6543,B.Tech Printing and Packaging Technology,PackPro Solutions,Packaging Consultant,Advised on sustainable packaging strategies for global brands.,
Rajeshwari Iyer,rajeshwari.iyer@example.com,109-876-5432,B.Tech Computer Science,NeuralMinds AI,Machine Learning Engineer,Developed facial recognition system for secure access control.,
Ishan Sharma,ishan.sharma@example.com,098-765-4321,B.Tech Electrical Engineering,Tata Power,Renewable Energy Analyst,Published research on grid integration of solar power systems.,
Suresh Menon,suresh.menon@example.com,987-654-3210,B.Tech Civil Engineering,UrbanPlan Developers,Urban Planner,Designed sustainable city layouts integrating green spaces.,
Preeti Patel,preeti.patel@example.com,876-543-2109,B.Tech Printing and Packaging Technology,FlexiPrint Solutions,Printing Technician,Optimized print press operations reducing wastage by 20%.,
Rohit Kumar,rohit.kumar@example.com,765-432-1098,B.Tech Computer Science,DataTech Innovations,Big Data Analyst,Analyzed large datasets for insights in healthcare analytics.,
Neha Desai,neha.desai@example.com,654-321-0987,B.Tech Electrical Engineering,Siemens Ltd.,Control Systems Engineer,Designed automated control system for industrial processes.,
Siddharth Joshi,siddharth.joshi@example.com,543-210-9876,B.Tech Civil Engineering,"MetroRail Corporation, Govt.",Senior Structural Engineer,Managed design of iconic bridge recognized for engineering excellence.,
Deepa Patel,deepa.patel@example.com,432-109-8765,B.Tech Printing and Packaging Technology,GreenWrap Innovations,Sustainability Analyst,Developed eco-labeling system for environmentally friendly products.,
Manoj Singh,manoj.singh@example.com,321-098-7654,B.Tech Computer Science,TechMinds Solutions,Software Developer,Created educational coding platform for underprivileged children.,
Radhika Iyer,radhika.iyer@example.com,210-987-6543,B.Tech Electrical Engineering,Indian Oil Corporation,Energy Analyst,Analyzed energy usage patterns for major refinery efficiency gains.,
Sumit Kumar,sumit.kumar@example.com,109-876-5432,B.Tech Civil Engineering,National Highways Authority,Structural Engineer,Designed innovative bridge support system for earthquake-prone zones.,
Kavitha Menon,kavitha.menon@example.com,098-765-4321,B.Tech Printing and Packaging Technology,PackSolutions Pvt. Ltd.,Product Manager,Introduced new printing technology reducing production time by 30%.,
Vipul Shah,vipul.shah@example.com,987-654-3210,B.Tech Computer Science,ByteVision Technologies,AI Engineer,Developed chatbot with natural language processing for customer service.,
Aishwarya Rao,aishwarya.rao@example.com,876-543-2109,B.Tech Electrical Engineering,Havells India,Senior Design Engineer,Designed energy-efficient lighting solutions for urban landscapes.,
Ravi Kapoor,ravi.kapoor@example.com,765-432-1098,B.Tech Civil Engineering,Modi Constructions,Project Coordinator,Managed construction of sustainable affordable housing project.,
Jaya Deshpande,jaya.deshpande@example.com,654-321-0987,B.Tech Printing and Packaging Technology,PrintWise Technologies,Print Production Manager,Improved print quality through new ink formulation research.,
Arvind Patel,arvind.patel@example.com,543-210-9876,B.Tech Computer Science,CognoTech Solutions,Software Architect,Architect of scalable microservices architecture for e-commerce.,
Meera Iyer,meera.iyer@example.com,432-109-8765,B.Tech Electrical Engineering,Reliance Power,Power Plant Engineer,Implemented AI-based predictive maintenance for power turbines.,
Anil Tiwari,anil.tiwari@example.com,321-098-7654,B.Tech Civil Engineering,UrbanWorks Designs,Urban Designer,Designed award-winning public space for community engagement.,
Kalyani Sharma,kalyani.sharma@example.com,210-987-6543,B.Tech Printing and Packaging Technology,EcoPack Innovations,Packaging Specialist,Developed biodegradable packaging film from plant-based materials.,
Rishi Gupta,rishi.gupta@example.com,109-876-5432,B.Tech Computer Science,InsightData Solutions,Data Engineer,Engineered real-time data processing system for financial analytics.,
Shweta Khan,shweta.khan@example.com,098-765-4321,B.Tech Electrical Engineering,L&T Construction,Electrical Design Engineer,Designed electrical systems for major commercial complexes.,
Sanjay Menon,sanjay.menon@example.com,987-654-3210,B.Tech Civil Engineering,GreenEarth Infrastructures,Environmental Engineer,Developed water treatment system for sustainable urban development.,
Akanksha Patel,akanksha.patel@example.com,876-543-2109,B.Tech Printing and Packaging Technology,PrintCrafters Innovations,Print Production Engineer,Innovated color-mixing technology for high-quality print finishes.,
Siddharth Sharma,siddharth.sharma@example.com,765-432-1098,B.Tech Computer Science,SmartTech Innovations,AI Developer,Developed AI-driven recommendation system for personalized shopping.,
Tanvi Iyer,tanvi.iyer@example.com,654-321-0987,B.Tech Electrical Engineering,Tata Consultancy Services,IT Consultant,Implemented digital transformation strategy for major retail chain.,
Kartik Reddy,kartik.reddy@example.com,543-210-9876,B.Tech Civil Engineering,MetroLink Infrastructure,Project Engineer,Managed construction of metro station with innovative energy systems.,
Ayesha Rao,ayesha.rao@example.com,432-109-8765,B.Tech Printing and Packaging Technology,PrintScape Designs,Packaging Designer,Designed award-winning packaging for luxury cosmetic brand.,
Tarun Gupta,tarun.gupta@example.com,321-098-7654,B.Tech Computer Science,DataBridge Analytics,Data Analyst,Analyzed market trends leading to 15% increase in sales forecasts.,
Neha Kapoor,neha.kapoor@example.com,210-987-6543,B.Tech Electrical Engineering,Adani Power,Electrical Engineer,Implemented energy optimization system reducing consumption by 25%.,
Vivek Menon,vivek.menon@example.com,109-876-5432,B.Tech Civil Engineering,UrbanScape Architects,Architect,Designed sustainable housing complex integrating green spaces.,
Ritu Patel,ritu.patel@example.com,098-765-4321,B.Tech Printing and Packaging Technology,InkMaster Solutions,Print Technician,Streamlined print production processes for faster turnaround.,
Kirti Singh,kirti.singh@example.com,987-654-3210,B.Tech Computer Science,CodeCraft Technologies,Software Engineer,Developed mobile app with 1 million+ downloads on app stores.,
Divya Menon,divya.menon@example.com,876-543-2109,B.Tech Electrical Engineering,"PowerGrid Corporation, Govt.",Power Systems Engineer,Implemented grid automation system for efficient power distribution.,
Aniket Sharma,aniket.sharma@example.com,765-432-1098,B.Tech Civil Engineering,HighRise Constructions,Structural Engineer,Designed iconic skyscraper with innovative seismic dampening.,
Shalini Iyer,shalini.iyer@example.com,654-321-0987,B.Tech Printing and Packaging Technology,EcoPrint Innovations,Packaging Engineer,Developed recyclable packaging material for pharmaceuticals.,
Ashwin Patel,ashwin.patel@example.com,543-210-9876,B.Tech Computer Science,InnovateSoft Technologies,Software Developer,Co-created virtual reality training platform for medical education.,
Nehal Reddy,nehal.reddy@example.com,432-109-8765,B.Tech Electrical Engineering,General Electric,Renewable Energy Engineer,Implemented wind energy project reducing carbon footprint by 30%.,
Priyanka Rao,priyanka.rao@example.com,321-098-7654,B.Tech Civil Engineering,UrbanDesign Solutions,Urban Planner,Designed master plan for sustainable urban development project.,
Anil Kumar,anil.kumar@example.com,210-987-6543,B.Tech Printing and Packaging Technology,FlexoPrint Technologies,Print Production Manager,Introduced digital printing process for flexible packaging.,
Tanisha Desai,tanisha.desai@example.com,109-876-5432,B.Tech Computer Science,TechSolutions Pvt. Ltd.,Software Tester,Ensured quality assurance for major software releases.,
Arun Menon,arun.menon@example.com,098-765-4321,B.Tech Electrical Engineering,Tata Power,Senior Project Engineer,Managed installation of solar power plants for rural electrification.,
Neha Sharma,neha.sharma@example.com,987-654-3210,B.Tech Civil Engineering,"MetroRail Corporation, Govt.",Civil Engineer,Led construction of underground metro tunnels with innovative methods.,
Karthik Iyer,karthik.iyer@example.com,876-543-2109,B.Tech Printing and Packaging Technology,EcoWrap Solutions,Sustainable Packaging Engineer,Developed compostable packaging material for perishable goods.,
Raghav Gupta,raghav.gupta@example.com,765-432-1098,B.Tech Computer Science,DataInnovate Technologies,Data Scientist,Developed predictive model for early disease detection in healthcare.,
Pooja Menon,pooja.menon@example.com,654-321-0987,B.Tech Electrical Engineering,Infosys Ltd.,Systems Analyst,Streamlined data migration process for multinational client.,
Vishal Patel,vishal.patel@example.com,543-210-9876,B.Tech Civil Engineering,BuildIt Constructions,Project Engineer,Managed construction of earthquake-resistant housing project.,

